student_id,gender,age_group,class_level,boarding_status,repeated_class,socioeconomic_status,guardian_type,parent_education_level,parent_involvement,parent_meeting_attendance,home_study_environment,number_of_siblings,receives_scholarship,internet_access_quality,has_personal_device,electricity_reliability,distance_from_school_km,commute_time_minutes,transport_mode,financial_stress_level,tuition_payment_status,meals_per_day,has_part_time_job,stress_level,sleep_hours_per_night,mental_health_indicator,exam_anxiety_level,motivation_level,peer_relationship_quality,school_satisfaction,attendance_rate,participation_level,extracurricular_involvement,library_usage,peer_collaboration,preferred_learning_style,math_score,english_score,science_score,social_studies_score,average_score,prev_math_score,prev_english_score,prev_science_score,prev_social_studies_score,prev_average_score,score_trend,study_hours_per_day,assignment_completion_rate,homework_submission_consistency,hardest_subject,teacher_accessibility_rating,receives_extra_tutoring,counselor_visits_per_term,exam_preparation_level,mock_exam_score,waec_subject_count,primary_challenge,support_needed,pass_fail,risk_level,dropout_risk,score_improved,score_delta,attendance_category,score_category,is_senior_student,SSI,EI,PSI,RAI,WBI,ARI,WRI,SNI,DVI,pass_fail_encoded,risk_level_encoded,dropout_risk_encoded
STU_0179,Female,10-12,JSS1,Boarding,No,Lower-Middle,Guardian/Relative,OND/NCE,Moderate,Sometimes,Good,4,No,Very Poor,No,Very Unreliable,16.2,94,Private Car,Very High,Partial,1,No,Very Low,7.3,Concerning,Very High,High,Good,Very Dissatisfied,64.5,Moderate,1 Activity,Monthly,Rarely,Mixed,38.5,44.4,41.4,39.5,41.0,56.1,32.0,34.1,35.9,39.5,Stable,3-4hrs,Below 50%,Always,Mathematics,Excellent,No,2,,0.0,0.0,I find mathematics very difficult,Consistent electricity supply for night reading,Fail,Critical,Medium,1,1.5,Low (50-65%),Poor (40-49),0,38.48,36.25,57.75,18.2,64.05,33.1,0.0,64.3,53.88,0,4,2
STU_0180,Male,16-18,SS3,Day Student,No,Low,Guardian/Relative,Unknown,Moderate,Rarely,Fair,2,No,Very Poor,No,Moderate,5.2,35,Motorcycle,Very High,Outstanding,2,No,High,6.0,Good,Moderate,Moderate,Fair,Satisfied,71.7,Moderate,2 Activities,Rarely,Often,Reading/Writing,45.5,58.5,63.5,66.7,58.6,52.2,61.4,63.8,68.3,61.4,Stable,<1hr,50-70%,Often,Mathematics,Fair,No,1,Fair,81.0,8.0,Transport challenges cause lateness,Better internet access within school,Pass,High,Medium,0,-2.8,Fair (65-75%),Below Avg (50-59),1,53.1,56.25,36.25,31.91,53.68,30.44,75.23,62.88,68.58,1,3,2
STU_0181,Male,13-15,SS1,Day Student,No,High,Both Parents,Postgraduate,Moderate,Rarely,Fair,2,Yes,Excellent,Yes,Moderate,4.0,24,Walking,No Stress,Paid,2,No,High,5.8,Poor,Moderate,Low,Good,Neutral,63.5,High,No Activity,Rarely,Always,Reading/Writing,76.5,64.4,63.0,72.2,69.0,71.6,66.4,67.3,74.4,69.9,Stable,3-4hrs,50-70%,Sometimes,Science,Good,No,1,Poor,78.4,7.0,Long distance to school is exhausting,Emotional and psychological support services,Pass,Medium,Medium,0,-0.9,Low (50-65%),Average (60-69),1,60.03,57.5,51.25,86.32,28.75,31.17,64.84,58.46,44.62,1,2,2
STU_0182,Male,16-18,SS2,Day Student,No,Lower-Middle,Both Parents,Postgraduate,High,Sometimes,Good,2,No,Fair,No,Unreliable,1.5,9,Motorcycle,Low,Paid,2,No,High,5.6,Good,Low,High,Fair,Dissatisfied,72.2,Moderate,1 Activity,Monthly,Sometimes,Kinesthetic,67.5,81.2,66.3,84.0,74.8,71.9,82.6,62.2,84.9,75.4,Stable,3-4hrs,Above 90%,Often,Science,Excellent,No,2,Good,78.1,9.0,Working part-time limits study time,Access to more textbooks and materials,Pass,Low,Low,0,-0.6,Fair (65-75%),Good (70-79),1,80.23,45.0,72.5,41.41,59.82,34.29,83.14,31.84,21.45,1,1,1
STU_0183,Female,10-12,JSS3,Day Student,No,Lower-Middle,Both Parents,OND/NCE,Low,Often,Poor,2,No,Poor,No,Unreliable,3.1,11,Walking,High,Outstanding,3,No,Low,7.4,Poor,High,Low,Good,Neutral,61.5,Moderate,1 Activity,Never,Sometimes,Auditory,41.9,42.9,44.1,42.0,42.7,41.5,36.8,48.1,45.3,42.9,Stable,<1hr,50-70%,Sometimes,Mathematics,Fair,Yes,1,,0.0,0.0,Lack of past question papers,After-school remedial classes,Fail,High,High,0,-0.2,Low (50-65%),Poor (40-49),0,42.32,37.5,42.75,34.87,42.68,29.44,0.0,62.33,51.12,0,3,3
STU_0184,Female,16-18,SS2,Day Student,No,Middle,Guardian/Relative,Primary,Very Low,Rarely,Good,5,No,Good,Yes,Unreliable,0.6,5,Walking,Moderate,Partial,3,No,High,4.6,Fair,Low,Low,Fair,Satisfied,69.6,Moderate,1 Activity,Rarely,Always,Visual,54.1,52.5,52.4,48.3,51.8,51.7,56.9,57.8,55.9,55.6,Stable,<1hr,71-90%,Often,Social Studies,Good,No,1,Fair,58.3,8.0,Poor internet connection at home,Financial aid or scholarship support,Pass,Medium,Low,0,-3.8,Fair (65-75%),Below Avg (50-59),1,56.86,57.5,28.0,70.22,40.35,30.05,65.01,49.93,46.1,1,2,1
STU_0185,Male,16-18,SS3,Boarding,No,Low,Orphan/Ward,Secondary,Moderate,Often,Good,4,Yes,Very Poor,No,Reliable,1.0,7,Motorcycle,Low,Paid,3,No,Very High,5.3,Good,Low,Moderate,Fair,Dissatisfied,80.3,Very Low,No Activity,Monthly,Sometimes,Auditory,49.3,62.1,49.6,56.2,54.3,45.6,54.4,47.3,56.5,51.0,Stable,<1hr,50-70%,Sometimes,Mathematics,Good,Yes,0,Fair,37.3,8.0,Peer pressure and social distractions,Extra tutoring in mathematics and science,Pass,Medium,Medium,1,3.3,Good (75-85%),Below Avg (50-59),1,51.08,25.0,61.0,39.58,47.93,29.8,55.56,44.95,33.92,1,2,2
STU_0186,Female,10-12,JSS1,Boarding,No,Upper-Middle,Both Parents,BSc/HND,Moderate,Rarely,Good,1,No,Good,Yes,Reliable,5.3,38,Private Car,Very High,Outstanding,3,No,Very Low,8.5,Good,Moderate,Very High,Good,Very Dissatisfied,63.7,Moderate,1 Activity,Weekly,Often,Mixed,69.7,74.8,67.0,67.1,69.6,65.6,80.4,56.4,66.7,67.3,Stable,>4hrs,50-70%,Rarely,Science,Excellent,No,2,,0.0,0.0,Mental fatigue from combined school and home demands,Motivational guidance and career counseling,Pass,Medium,High,1,2.3,Low (50-65%),Good (70-79),0,61.62,53.75,54.5,83.63,90.29,33.41,0.0,42.62,55.08,1,2,3
STU_0187,Female,10-12,JSS1,Day Student,No,Middle,Single Parent,BSc/HND,Very High,Often,Good,3,No,Good,No,Very Reliable,2.7,12,Bus/Danfo,Moderate,Paid,3,No,Moderate,6.7,Good,Moderate,Very Low,Excellent,Satisfied,67.9,Moderate,No Activity,Monthly,Sometimes,Reading/Writing,65.8,74.2,77.8,71.7,72.4,57.8,80.4,88.4,75.3,75.5,Stable,3-4hrs,50-70%,Often,Mathematics,Poor,Yes,3,,0.0,0.0,Peer pressure and social distractions,Counseling services for stress management,Pass,Low,Low,0,-3.1,Fair (65-75%),Good (70-79),0,64.98,45.0,84.5,68.26,56.43,34.32,0.0,38.07,31.02,1,1,1
STU_0188,Female,10-12,JSS1,Boarding,No,Lower-Middle,Both Parents,BSc/HND,Low,Always,Fair,6,No,Good,No,Unreliable,19.5,128,Bus/Danfo,Moderate,Paid,3,No,Low,8.9,Good,Very High,Very High,Excellent,Very Satisfied,70.8,Moderate,2 Activities,Weekly,Sometimes,Reading/Writing,41.4,61.3,62.8,42.7,52.0,32.3,60.9,58.1,54.6,51.5,Stable,<1hr,Below 50%,Rarely,Mathematics,Very Poor,No,2,,0.0,0.0,Noisy home environment disrupts studying,Transport support for distant students,Pass,Medium,Low,1,0.5,Fair (65-75%),Below Avg (50-59),0,38.57,62.5,58.25,41.33,83.39,32.71,0.0,45.38,23.8,1,2,1
STU_0189,Female,10-12,JSS2,Boarding,No,Low,Both Parents,Secondary,Low,Sometimes,Excellent,3,Yes,Very Poor,No,Unreliable,3.2,21,Walking,Moderate,Outstanding,3,No,Moderate,5.5,Good,Low,High,Poor,Satisfied,69.1,Very Low,1 Activity,Daily,Rarely,Kinesthetic,38.0,42.2,31.8,50.9,40.7,42.6,31.9,16.3,54.5,36.3,Stable,3-4hrs,Below 50%,Rarely,Social Studies,Good,Yes,1,,0.0,0.0,Frequent power outages disrupt night reading,Access to more textbooks and materials,Fail,High,Low,1,4.4,Fair (65-75%),Poor (40-49),0,42.19,38.75,52.25,26.34,63.36,31.22,0.0,51.85,44.72,0,3,1
STU_0190,Male,10-12,JSS1,Boarding,Yes,Low,Both Parents,BSc/HND,High,Sometimes,Poor,4,No,Poor,No,Very Unreliable,41.3,180,Private Car,Low,Outstanding,1,No,Moderate,7.5,Good,Moderate,Very Low,Good,Neutral,67.7,Very Low,3+ Activities,Daily,Rarely,Visual,40.7,36.6,46.9,42.6,41.7,38.2,42.2,44.2,48.8,43.4,Stable,<1hr,71-90%,Often,English,Very Poor,No,2,,0.0,0.0,Mental fatigue from combined school and home demands,Better equipped computer laboratory,Fail,Medium,Low,0,-1.7,Fair (65-75%),Poor (40-49),0,52.85,46.25,57.0,13.22,55.64,33.86,0.0,46.32,38.08,0,2,1
STU_0191,Male,13-15,JSS2,Boarding,No,Upper-Middle,Both Parents,BSc/HND,Moderate,Often,Fair,4,Yes,Fair,Yes,Very Reliable,9.0,49,Bus/Danfo,Low,Paid,1,No,High,5.7,Good,Low,High,Good,Very Satisfied,71.2,Low,1 Activity,Weekly,Always,Kinesthetic,63.4,70.1,56.4,67.1,64.2,64.7,66.0,60.5,57.7,62.2,Stable,3-4hrs,71-90%,Always,Science,Poor,Yes,0,,0.0,0.0,Peer pressure and social distractions,Online learning platform and e-library,Pass,Medium,Low,1,2.0,Fair (65-75%),Average (60-69),0,61.6,62.5,60.75,82.63,62.54,29.3,0.0,32.57,21.7,1,2,1
STU_0192,Female,13-15,SS1,Day Student,No,Middle,Both Parents,OND/NCE,Very Low,Sometimes,Poor,2,No,Fair,No,Unreliable,3.0,25,Bus/Danfo,Moderate,Paid,2,No,Moderate,7.2,Fair,High,Moderate,Good,Neutral,71.6,High,No Activity,Monthly,Rarely,Auditory,46.1,45.2,34.3,43.5,42.3,40.0,47.1,39.4,42.4,42.2,Stable,<1hr,Below 50%,Sometimes,Science,Fair,No,0,Very Poor,48.6,8.0,Lack of textbooks and study materials,Access to more textbooks and materials,Fail,Medium,Low,1,0.1,Fair (65-75%),Poor (40-49),1,38.04,43.75,27.75,43.41,55.67,26.56,46.65,55.25,26.1,0,2,1
STU_0193,Female,10-12,JSS3,Day Student,No,Lower-Middle,Both Parents,OND/NCE,Very Low,Sometimes,Excellent,2,No,Very Poor,No,Unreliable,3.5,27,Bus/Danfo,Moderate,Partial,3,No,Moderate,6.2,Good,Moderate,Very High,Good,Neutral,64.6,Low,1 Activity,Never,Never,Reading/Writing,40.1,56.0,63.5,56.0,53.9,44.2,60.8,55.5,48.7,52.3,Stable,<1hr,71-90%,Sometimes,Mathematics,Poor,Yes,2,,0.0,0.0,Transport challenges cause lateness,Recognition and rewards for academic improvement,Pass,High,Low,1,1.6,Low (50-65%),Below Avg (50-59),0,53.68,17.5,46.5,28.74,72.86,33.14,0.0,46.29,36.85,1,3,1
STU_0194,Female,10-12,JSS1,Day Student,No,Low,Single Parent,Primary,Very High,Sometimes,Good,3,No,Poor,No,Reliable,13.0,78,Bus/Danfo,Low,Partial,2,No,Low,7.8,Fair,High,Very High,Excellent,Very Satisfied,64.5,Low,2 Activities,Monthly,Often,Auditory,38.7,51.7,33.6,55.1,44.8,33.8,46.0,20.7,55.2,38.9,Improving,1-2hrs,50-70%,Sometimes,Science,Excellent,No,2,,0.0,0.0,Low confidence in science subjects,Peer mentorship and study groups,Fail,Medium,Low,1,5.9,Low (50-65%),Poor (40-49),0,47.8,56.25,69.25,41.53,75.7,52.3,0.0,37.91,31.37,0,2,1
STU_0195,Male,13-15,SS1,Day Student,No,Middle,Both Parents,OND/NCE,High,Rarely,Good,2,No,Fair,No,Moderate,4.5,27,Walking,No Stress,Paid,3,No,High,6.0,Good,Moderate,Moderate,Fair,Satisfied,67.9,Low,1 Activity,Monthly,Sometimes,Visual,64.6,71.9,65.8,70.8,68.3,55.2,86.9,67.9,79.4,72.4,Stable,1-2hrs,71-90%,Always,Mathematics,Fair,No,2,Good,87.8,8.0,Noisy home environment disrupts studying,Emotional and psychological support services,Pass,Low,Low,0,-4.1,Fair (65-75%),Average (60-69),1,58.21,42.5,60.25,49.15,53.68,32.93,85.29,56.7,43.53,1,1,1
STU_0196,Male,13-15,JSS3,Boarding,No,Middle,Single Parent,Postgraduate,Moderate,Often,Very Poor,3,Yes,Fair,Yes,Moderate,2.9,11,Walking,Low,Paid,3,No,Moderate,7.0,Poor,Moderate,High,Good,Very Dissatisfied,75.6,High,1 Activity,Rarely,Often,Auditory,65.5,73.5,54.9,61.2,63.8,76.5,73.2,58.5,53.4,65.4,Stable,1-2hrs,71-90%,Sometimes,Science,Fair,No,2,,0.0,0.0,Financial burden of buying data for online research,Better internet access within school,Pass,Low,Low,0,-1.6,Good (75-85%),Average (60-69),0,63.9,51.25,51.25,69.69,47.57,31.9,0.0,38.25,22.1,1,1,1
STU_0197,Female,16-18,SS3,Day Student,No,Lower-Middle,Both Parents,OND/NCE,Moderate,Rarely,Good,3,No,Good,No,Very Unreliable,4.0,30,Walking,Low,Paid,3,No,Very High,4.8,Fair,Moderate,Moderate,Poor,Satisfied,72.3,Low,No Activity,Rarely,Sometimes,Visual,51.0,69.8,46.9,66.1,58.4,52.5,65.1,54.7,76.5,62.2,Stable,<1hr,Below 50%,Rarely,Science,Very Poor,No,0,Fair,53.5,8.0,Financial burden of buying data for online research,Counseling services for stress management,Pass,Medium,Low,0,-3.8,Fair (65-75%),Below Avg (50-59),1,41.18,32.5,51.5,40.32,35.02,27.05,62.85,52.0,23.92,1,2,1
STU_0198,Female,13-15,JSS2,Boarding,No,Lower-Middle,Both Parents,BSc/HND,Moderate,Always,Good,4,No,Fair,No,Unreliable,15.2,86,School Bus,Very High,Partial,3,Yes,Moderate,6.1,Fair,Moderate,Moderate,Excellent,Satisfied,74.0,Very Low,2 Activities,Monthly,Rarely,Mixed,52.5,73.4,69.4,62.0,64.3,50.3,80.4,76.4,62.0,67.3,Stable,3-4hrs,71-90%,Often,Mathematics,Fair,No,3,,0.0,0.0,Financial pressure from school fees,Extra tutoring in mathematics and science,Pass,Medium,Medium,0,-3.0,Fair (65-75%),Average (60-69),0,70.34,33.75,73.25,36.78,57.81,34.36,0.0,52.34,52.7,1,2,2
STU_0199,Female,10-12,JSS3,Boarding,No,Lower-Middle,Both Parents,BSc/HND,Moderate,Rarely,Fair,2,No,Poor,No,Reliable,34.0,180,Bus/Danfo,High,Partial,3,No,Very Low,8.2,Good,Moderate,Low,Good,Neutral,66.7,Low,3+ Activities,Daily,Never,Auditory,38.5,43.4,44.4,60.2,46.6,37.2,54.2,45.4,65.6,50.6,Stable,<1hr,50-70%,Sometimes,Mathematics,Good,No,4,,0.0,0.0,Peer pressure and social distractions,Reduction in homework load,Fail,High,Low,0,-4.0,Fair (65-75%),Poor (40-49),0,44.98,47.5,48.25,36.93,74.64,36.97,0.0,52.72,38.33,0,3,1
STU_0200,Female,16-18,SS3,Boarding,No,Middle,Both Parents,OND/NCE,High,Often,Poor,1,No,Good,Yes,Moderate,19.7,124,School Bus,Very High,Outstanding,3,No,Moderate,7.4,Fair,Moderate,High,Good,Neutral,75.7,High,1 Activity,Rarely,Never,Kinesthetic,56.5,55.2,66.1,68.2,61.5,54.0,40.7,59.7,74.4,57.2,Stable,1-2hrs,Below 50%,Sometimes,English,Excellent,No,2,Good,79.7,9.0,Long distance to school is exhausting,Improved school library with digital resources,Pass,Low,Medium,1,4.3,Good (75-85%),Average (60-69),1,49.78,37.5,60.25,70.01,63.1,34.18,83.86,54.16,57.08,1,1,2
STU_0201,Female,10-12,JSS2,Boarding,No,High,Both Parents,BSc/HND,Very High,Rarely,Fair,2,No,Good,No,Unreliable,4.1,24,Bus/Danfo,Low,Paid,2,No,Moderate,6.4,Good,High,Moderate,Excellent,Dissatisfied,70.6,Very High,2 Activities,Rarely,Always,Auditory,38.8,60.8,63.8,64.2,56.9,42.3,51.1,60.4,76.2,57.5,Stable,1-2hrs,Below 50%,Rarely,Mathematics,Good,Yes,2,,0.0,0.0,Stress from upcoming WAEC examination,Access to more textbooks and materials,Pass,Low,Low,0,-0.6,Fair (65-75%),Below Avg (50-59),0,44.23,72.5,65.75,54.03,63.79,32.29,0.0,40.68,19.35,1,1,1
STU_0202,Male,13-15,SS1,Day Student,No,Low,Both Parents,OND/NCE,Low,Rarely,Very Poor,2,No,Poor,No,Very Unreliable,8.7,57,Motorcycle,High,Outstanding,2,Yes,Moderate,6.2,Poor,Moderate,Moderate,Good,Satisfied,64.7,Very Low,No Activity,Monthly,Sometimes,Visual,41.2,40.8,31.4,49.9,40.8,30.4,35.4,29.7,53.4,37.2,Stable,<1hr,Below 50%,Rarely,English,Poor,No,3,Fair,36.2,8.0,Transport challenges cause lateness,More teacher support outside class hours,Fail,High,High,1,3.6,Low (50-65%),Poor (40-49),1,33.12,30.0,24.0,24.23,40.86,36.91,55.07,68.8,57.03,0,3,3
STU_0203,Male,13-15,SS1,Day Student,No,Middle,Both Parents,OND/NCE,Very High,Rarely,Fair,2,No,Fair,No,Unreliable,10.3,71,Private Car,No Stress,Partial,3,No,Very High,6.2,Concerning,Very High,High,Good,Satisfied,65.1,High,No Activity,Never,Sometimes,Kinesthetic,46.8,65.9,50.6,58.5,55.4,34.2,80.7,44.2,53.3,53.1,Stable,<1hr,Above 90%,Often,Science,Fair,No,1,Excellent,56.6,9.0,Lack of textbooks and study materials,More frequent parent-teacher engagement,Pass,Medium,Low,1,2.3,Fair (65-75%),Below Avg (50-59),1,63.66,42.5,62.75,40.94,36.69,32.41,80.47,60.13,55.72,1,2,1
STU_0204,Female,10-12,JSS3,Day Student,No,Lower-Middle,Both Parents,Secondary,Low,Often,Poor,3,No,Very Poor,Yes,Moderate,17.9,108,Private Car,Moderate,Paid,3,No,Low,8.2,Fair,Low,High,Excellent,Very Dissatisfied,64.0,Very Low,1 Activity,Weekly,Sometimes,Reading/Writing,66.7,68.3,63.0,67.9,66.5,67.5,64.9,70.6,74.0,69.2,Stable,3-4hrs,Above 90%,Often,Science,Poor,No,1,,0.0,0.0,I find mathematics very difficult,Financial aid or scholarship support,Pass,Medium,Low,0,-2.7,Low (50-65%),Average (60-69),0,75.28,32.5,39.75,50.12,75.56,28.47,0.0,37.04,25.5,1,2,1
STU_0205,Female,10-12,JSS2,Day Student,No,Lower-Middle,Single Parent,OND/NCE,Low,Sometimes,Poor,1,No,Poor,No,Very Unreliable,1.2,6,Bus/Danfo,Moderate,Partial,2,No,Low,7.5,Concerning,Low,Very High,Poor,Satisfied,70.3,Moderate,1 Activity,Monthly,Often,Visual,67.6,66.6,68.8,63.1,66.5,55.4,77.2,76.0,47.1,63.9,Stable,>4hrs,71-90%,Always,Social Studies,Fair,No,2,,0.0,0.0,Poor health affecting concentration,More teacher support outside class hours,Pass,Low,Low,1,2.6,Fair (65-75%),Average (60-69),0,66.18,56.25,36.5,29.26,64.23,33.53,0.0,45.63,36.92,1,1,1
STU_0206,Male,10-12,JSS1,Day Student,No,Lower-Middle,Single Parent,Primary,Very Low,Often,Poor,2,No,Good,No,Moderate,2.3,13,Bus/Danfo,Very High,Partial,1,No,Very Low,6.6,Fair,Moderate,Low,Excellent,Satisfied,75.3,Very Low,1 Activity,Rarely,Sometimes,Reading/Writing,39.7,43.2,38.6,52.9,43.6,26.4,44.7,28.8,47.5,36.8,Improving,1-2hrs,Below 50%,Sometimes,Social Studies,Fair,Yes,4,,0.0,0.0,Working part-time limits study time,More teacher support outside class hours,Fail,High,Medium,1,6.8,Good (75-85%),Poor (40-49),0,43.42,30.0,28.0,53.39,66.38,58.65,0.0,60.64,47.17,0,3,2
STU_0207,Male,16-18,SS2,Day Student,Yes,Upper-Middle,Both Parents,Secondary,Low,Rarely,Poor,2,No,Excellent,Yes,Moderate,4.7,24,Walking,No Stress,Paid,1,Yes,Very High,5.8,Good,Low,High,Fair,Very Dissatisfied,74.4,Very High,1 Activity,Weekly,Often,Visual,50.4,46.2,36.2,63.4,49.1,56.7,36.0,33.9,59.9,46.6,Stable,<1hr,Above 90%,Always,Science,Fair,No,0,Excellent,35.7,8.0,Lack of past question papers,Access to more textbooks and materials,Fail,Critical,Medium,1,2.5,Fair (65-75%),Below Avg (50-59),1,55.78,68.75,27.25,83.58,54.0,29.49,68.84,56.18,48.6,0,4,2
STU_0208,Female,13-15,SS2,Boarding,Yes,Lower-Middle,Both Parents,OND/NCE,Very High,Sometimes,Very Poor,3,Yes,Fair,No,Reliable,1.9,7,Motorcycle,High,Outstanding,1,Yes,Moderate,6.2,Concerning,Moderate,Very High,Good,Satisfied,67.6,Moderate,No Activity,Rarely,Sometimes,Visual,50.6,60.8,55.2,59.8,56.6,51.8,67.0,69.6,47.2,58.9,Stable,1-2hrs,Above 90%,Always,Mathematics,Good,No,3,Excellent,61.0,9.0,Peer pressure and social distractions,Financial aid or scholarship support,Pass,High,Medium,0,-2.3,Fair (65-75%),Below Avg (50-59),1,60.71,40.0,56.5,53.78,58.19,36.63,82.45,49.1,56.3,1,3,2
STU_0209,Male,13-15,JSS3,Day Student,No,Middle,Both Parents,OND/NCE,Moderate,Often,Excellent,2,No,Good,Yes,Very Unreliable,5.0,32,Motorcycle,Low,Paid,3,No,Low,6.7,Good,Low,Very Low,Fair,Satisfied,65.3,Low,No Activity,Weekly,Sometimes,Kinesthetic,50.7,50.4,53.4,64.0,54.6,52.0,52.6,61.5,74.1,60.0,Declining,3-4hrs,50-70%,Rarely,English,Poor,No,5,,0.0,0.0,Stress from upcoming WAEC examination,Emotional and psychological support services,Pass,Medium,Low,0,-5.4,Fair (65-75%),Below Avg (50-59),0,52.77,42.5,70.25,62.48,59.68,21.93,0.0,37.6,18.18,1,2,1
STU_0210,Male,13-15,SS2,Day Student,No,Lower-Middle,Single Parent,Postgraduate,Low,Rarely,Fair,2,Yes,Good,No,Reliable,6.3,36,Bus/Danfo,High,Partial,2,No,Moderate,6.7,Fair,Very High,High,Fair,Neutral,70.8,Moderate,No Activity,Never,Always,Reading/Writing,57.9,58.9,59.8,53.9,57.6,50.1,52.9,61.1,61.9,56.5,Stable,<1hr,50-70%,Sometimes,Social Studies,Fair,No,3,Good,59.1,9.0,Difficulty understanding some teachers,Flexible tuition payment plans,Pass,High,Low,1,1.1,Fair (65-75%),Below Avg (50-59),1,49.86,45.0,42.5,58.29,55.1,35.94,74.6,53.94,46.3,1,3,1
STU_0211,Female,13-15,SS1,Day Student,No,Low,Both Parents,Secondary,Very High,Sometimes,Poor,5,No,Excellent,No,Moderate,8.7,53,Bus/Danfo,High,Outstanding,3,No,Low,7.3,Good,Moderate,Moderate,Good,Very Satisfied,73.4,High,3+ Activities,Rarely,Sometimes,Visual,50.9,51.2,60.7,67.7,57.6,60.6,46.6,68.4,70.4,61.5,Stable,<1hr,50-70%,Often,English,Good,No,1,Good,55.4,9.0,Poor internet connection at home,Transport support for distant students,Pass,Medium,Medium,0,-3.9,Fair (65-75%),Below Avg (50-59),1,53.18,65.0,59.75,54.73,71.46,28.01,72.93,47.59,48.15,1,2,2
STU_0212,Female,16-18,SS3,Day Student,No,Low,Both Parents,BSc/HND,Very High,Sometimes,Fair,1,Yes,Poor,No,Unreliable,2.4,6,Bus/Danfo,High,Partial,2,No,Very High,4.8,Good,Moderate,High,Very Poor,Neutral,75.9,Low,1 Activity,Rarely,Often,Reading/Writing,70.8,81.3,79.3,80.8,78.0,77.8,74.0,90.8,86.7,82.3,Stable,>4hrs,Above 90%,Always,Mathematics,Excellent,No,0,Excellent,69.4,8.0,Poor internet connection at home,More frequent parent-teacher engagement,Pass,Medium,Medium,0,-4.3,Good (75-85%),Good (70-79),1,78.28,41.25,72.0,32.61,44.86,26.86,84.01,48.36,46.03,1,2,2
STU_0213,Female,10-12,JSS3,Day Student,No,Middle,Both Parents,BSc/HND,High,Sometimes,Fair,3,No,Fair,No,Very Reliable,10.4,61,Motorcycle,Moderate,Paid,2,No,Low,7.7,Fair,High,High,Excellent,Very Dissatisfied,69.3,Very Low,2 Activities,Weekly,Sometimes,Reading/Writing,50.0,42.2,64.9,57.1,53.6,40.5,37.8,65.6,59.3,50.8,Stable,<1hr,50-70%,Often,English,Poor,No,2,,0.0,0.0,Financial burden of buying data for online research,Counseling services for stress management,Pass,Low,Low,1,2.8,Fair (65-75%),Below Avg (50-59),0,50.75,37.5,63.25,59.66,70.49,33.6,0.0,42.07,24.18,1,1,1
STU_0214,Male,10-12,JSS2,Boarding,No,Low,Guardian/Relative,BSc/HND,Very High,Rarely,Excellent,5,No,Poor,No,Very Unreliable,0.8,9,Walking,Very High,Paid,1,Yes,Moderate,6.9,Good,Low,Very High,Fair,Satisfied,69.9,High,1 Activity,Weekly,Sometimes,Reading/Writing,48.6,44.6,36.2,57.9,46.8,47.8,49.2,26.7,63.1,46.7,Stable,1-2hrs,Below 50%,Always,Science,Good,No,0,,0.0,0.0,Mental fatigue from combined school and home demands,Consistent electricity supply for night reading,Fail,High,Medium,1,0.1,Fair (65-75%),Poor (40-49),0,37.85,62.5,78.25,26.9,73.86,26.56,0.0,58.86,52.73,0,3,2
STU_0215,Female,13-15,SS2,Day Student,No,Middle,Both Parents,OND/NCE,Low,Sometimes,Poor,3,No,Very Poor,No,Moderate,11.9,65,Private Car,Moderate,Paid,3,No,High,4.7,Fair,Very High,Moderate,Fair,Satisfied,71.0,Low,No Activity,Weekly,Never,Visual,42.8,51.7,45.8,45.1,46.4,39.9,45.4,51.8,52.7,47.4,Stable,<1hr,50-70%,Sometimes,Mathematics,Good,No,2,Fair,48.7,7.0,Financial pressure from school fees,Counseling services for stress management,Fail,High,Low,0,-1.0,Fair (65-75%),Poor (40-49),1,45.99,30.0,36.5,34.65,39.56,32.13,58.47,57.16,28.75,0,3,1
STU_0216,Male,16-18,SS3,Boarding,No,Lower-Middle,Single Parent,Postgraduate,Very High,Rarely,Poor,4,No,Poor,No,Unreliable,3.5,21,Bus/Danfo,High,Outstanding,2,Yes,Very High,4.2,Fair,Moderate,Very High,Excellent,Very Satisfied,74.7,High,1 Activity,Monthly,Rarely,Kinesthetic,59.5,70.4,80.9,53.4,66.0,59.2,71.0,87.3,44.7,65.6,Stable,<1hr,50-70%,Always,Social Studies,Poor,No,0,Good,59.7,7.0,Mental fatigue from combined school and home demands,Motivational guidance and career counseling,Pass,Medium,High,1,0.4,Fair (65-75%),Average (60-69),1,48.44,53.75,62.5,34.74,51.24,28.67,70.42,56.39,63.52,1,2,3
STU_0217,Male,10-12,JSS3,Day Student,No,Lower-Middle,Both Parents,OND/NCE,High,Often,Excellent,1,No,Good,Yes,Moderate,10.8,55,Motorcycle,Moderate,Partial,2,No,Low,7.6,Poor,Low,Very Low,Good,Neutral,55.0,Low,1 Activity,Weekly,Rarely,Visual,43.7,55.0,47.7,55.6,50.5,51.3,57.2,40.7,61.1,52.6,Stable,1-2hrs,50-70%,Rarely,Mathematics,Good,No,2,,0.0,0.0,Poor internet connection at home,Safe and quiet study environment at school,Pass,Low,Medium,0,-2.1,Low (50-65%),Below Avg (50-59),0,44.76,38.75,79.0,70.52,42.11,31.7,0.0,47.98,36.75,1,1,2
